Código,Forum,Chat,Resource,Assignment,URL,Page,Book,Choice,Glossary,Quiz,Wiki
CLEC_1,6,0,23,1,0,3,0,0,0,1,0
CLEC_3,6,0,16,3,6,5,0,0,0,0,0
CLEC_6,16,0,0,1,0,16,0,0,0,0,0
CLEC_7,10,0,13,0,0,6,0,0,0,0,0
CLEC_8,9,0,10,0,1,8,0,0,0,0,0
Média do primeiro grupo,9.4,0,12.4,1,1.4,7.6,0,0,0,0.2,0
CLEC_2,7,8,14,8,0,4,0,0,0,0,1
CLEC_4,8,0,20,1,9,7,0,0,0,0,0
CLEC_5,14,0,19,5,5,23,0,0,0,0,0
CLEC_9,3,0,3,0,0,1,0,0,0,0,0
CLEC_10,3,0,1,0,0,0,0,0,0,0,0
Média do segundo grupo,7,1.6,11.4,2.8,2.8,7,0,0,0,0,0.2
